"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 07:18:09.585,3 Dec 2013 07:30:37.523,747.938
2,3 Dec 2013 08:58:59.731,3 Dec 2013 09:07:10.913,491.182
3,3 Dec 2013 10:42:10.740,3 Dec 2013 10:47:04.272,293.533
4,3 Dec 2013 12:12:55.753,3 Dec 2013 12:23:20.877,625.123
5,3 Dec 2013 13:45:17.035,3 Dec 2013 13:56:59.410,702.375
6,3 Dec 2013 15:18:06.814,3 Dec 2013 15:30:04.525,717.711
7,3 Dec 2013 16:51:26.675,3 Dec 2013 17:03:28.193,721.518
8,3 Dec 2013 18:25:30.064,3 Dec 2013 18:37:34.993,724.929
9,3 Dec 2013 20:00:25.067,3 Dec 2013 20:12:27.110,722.043
10,4 Dec 2013 04:51:33.281,4 Dec 2013 05:03:46.830,733.549
11,4 Dec 2013 06:29:43.356,4 Dec 2013 06:38:49.150,545.795
12,4 Dec 2013 08:04:21.098,4 Dec 2013 08:14:17.099,596.001
13,4 Dec 2013 09:38:09.871,4 Dec 2013 09:48:41.816,631.945
14,4 Dec 2013 11:11:39.604,4 Dec 2013 11:22:13.011,633.407
15,4 Dec 2013 12:45:27.451,4 Dec 2013 12:55:13.168,585.717
16,4 Dec 2013 14:20:33.945,4 Dec 2013 14:27:47.508,433.563
17,4 Dec 2013 15:58:14.756,4 Dec 2013 16:02:10.808,236.052
18,4 Dec 2013 17:32:44.907,4 Dec 2013 17:45:09.191,744.285
19,5 Dec 2013 04:01:45.112,5 Dec 2013 04:08:07.254,382.143
20,5 Dec 2013 05:34:37.736,5 Dec 2013 05:42:46.891,489.155
21,5 Dec 2013 07:06:58.116,5 Dec 2013 07:16:27.139,569.023
22,5 Dec 2013 08:38:45.081,5 Dec 2013 08:49:38.951,653.870
23,5 Dec 2013 10:10:38.935,5 Dec 2013 10:22:28.421,709.486
24,5 Dec 2013 11:46:43.584,5 Dec 2013 11:58:00.692,677.108
25,5 Dec 2013 13:28:27.982,5 Dec 2013 13:38:18.929,590.947
26,5 Dec 2013 15:06:47.419,5 Dec 2013 15:19:22.492,755.073
27,5 Dec 2013 16:47:28.614,5 Dec 2013 16:52:09.088,280.475
28,6 Dec 2013 07:47:24.817,6 Dec 2013 07:53:29.729,364.913
29,6 Dec 2013 09:21:44.522,6 Dec 2013 09:34:24.617,760.095
30,6 Dec 2013 11:02:30.449,6 Dec 2013 11:13:35.611,665.162
31,6 Dec 2013 12:42:13.258,6 Dec 2013 12:54:39.031,745.773
32,6 Dec 2013 14:21:45.364,6 Dec 2013 14:31:35.000,589.636
