"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 06:03:06.297,3 Dec 2013 06:14:24.581,678.284
2,3 Dec 2013 07:43:17.800,3 Dec 2013 07:59:55.035,997.235
3,3 Dec 2013 09:32:39.689,3 Dec 2013 09:44:44.489,724.800
4,3 Dec 2013 11:17:44.257,3 Dec 2013 11:30:57.759,793.502
5,3 Dec 2013 12:56:10.183,3 Dec 2013 13:11:34.990,924.806
6,3 Dec 2013 14:35:05.676,3 Dec 2013 14:51:01.523,955.847
7,3 Dec 2013 16:14:28.545,3 Dec 2013 16:30:31.995,963.450
8,3 Dec 2013 17:54:37.086,3 Dec 2013 18:10:47.798,970.712
9,3 Dec 2013 19:35:45.891,3 Dec 2013 19:52:01.271,975.380
10,3 Dec 2013 21:19:55.245,3 Dec 2013 21:29:30.327,575.082
11,4 Dec 2013 03:29:55.593,4 Dec 2013 03:32:25.700,150.107
12,4 Dec 2013 05:03:39.967,4 Dec 2013 05:20:09.284,989.317
13,4 Dec 2013 06:48:01.996,4 Dec 2013 07:02:11.896,849.900
14,4 Dec 2013 08:29:05.021,4 Dec 2013 08:43:47.250,882.228
15,4 Dec 2013 10:09:12.885,4 Dec 2013 10:24:11.542,898.658
16,4 Dec 2013 11:49:03.219,4 Dec 2013 12:03:48.219,885.000
17,4 Dec 2013 13:29:27.535,4 Dec 2013 13:43:07.301,819.766
18,4 Dec 2013 15:11:37.140,4 Dec 2013 15:22:22.197,645.057
19,4 Dec 2013 16:55:07.351,4 Dec 2013 17:10:54.450,947.099
20,4 Dec 2013 18:39:12.818,4 Dec 2013 18:53:05.909,833.091
21,5 Dec 2013 02:27:38.385,5 Dec 2013 02:36:38.623,540.238
22,5 Dec 2013 04:07:16.094,5 Dec 2013 04:19:02.670,706.577
23,5 Dec 2013 05:46:42.432,5 Dec 2013 05:59:39.738,777.307
24,5 Dec 2013 07:25:18.000,5 Dec 2013 07:39:19.438,841.438
25,5 Dec 2013 09:03:16.413,5 Dec 2013 09:18:31.452,915.039
26,5 Dec 2013 10:41:31.922,5 Dec 2013 10:57:22.614,950.692
27,5 Dec 2013 12:27:47.714,5 Dec 2013 12:42:56.543,908.830
28,5 Dec 2013 14:15:36.559,5 Dec 2013 14:31:41.718,965.159
29,5 Dec 2013 16:00:57.792,5 Dec 2013 16:16:45.410,947.618
30,6 Dec 2013 08:05:25.576,6 Dec 2013 08:19:37.645,852.070
31,6 Dec 2013 09:49:11.420,6 Dec 2013 10:06:02.779,1011.359
32,6 Dec 2013 11:37:23.859,6 Dec 2013 11:53:21.531,957.672
33,6 Dec 2013 13:23:52.407,6 Dec 2013 13:40:51.868,1019.461
34,6 Dec 2013 15:12:58.068,6 Dec 2013 15:20:13.348,435.280
35,7 Dec 2013 05:33:12.983,7 Dec 2013 05:41:05.943,472.960
36,7 Dec 2013 07:11:38.305,7 Dec 2013 07:28:31.046,1012.741
37,7 Dec 2013 08:59:28.062,7 Dec 2013 09:14:03.512,875.450
38,7 Dec 2013 10:47:32.147,7 Dec 2013 11:03:16.974,944.827
