"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","adsb_out6-To-adsb_satrcvr2 - Flux Density (dBW/m^2)","adsb_out6-To-adsb_satrcvr2 - g/T (dB/K)","adsb_out6-To-adsb_satrcvr2 - C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
3 Dec 2013 01:16:46.370,23.979,1.090024,-139.954,-117.750238,-114.968946,-26.324259,8000.000,-95.3552,-86.3243,4.999728e-001
3 Dec 2013 01:17:46.000,23.979,1.090023,-138.926,-116.721479,-115.555018,-25.881572,8000.000,-94.9125,-85.8816,4.999713e-001
3 Dec 2013 01:18:46.000,23.979,1.090023,-137.763,-115.558506,-114.622297,-23.785879,8000.000,-92.8168,-83.7859,4.999635e-001
3 Dec 2013 01:19:46.000,23.979,1.090022,-136.448,-114.243697,-111.519750,-19.368523,8000.000,-88.3994,-79.3685,4.999393e-001
3 Dec 2013 01:20:46.000,23.979,1.090021,-134.960,-112.755932,-105.351875,-11.712883,8000.000,-80.7438,-71.7129,4.998535e-001
3 Dec 2013 01:21:46.000,23.979,1.090019,-133.302,-111.097545,-95.066621,0.230759,8000.000,-68.8001,-59.7692,4.994206e-001
3 Dec 2013 01:22:46.000,23.979,1.090015,-131.566,-109.361480,-80.300580,16.732865,8000.000,-52.2980,-43.2671,4.961269e-001
3 Dec 2013 01:23:46.000,23.979,1.090009,-130.095,-107.890911,-64.444553,34.059460,8000.000,-34.9714,-25.9405,4.715535e-001
3 Dec 2013 01:24:46.000,23.979,1.089999,-129.566,-107.362010,-57.958433,41.074482,8000.000,-27.9564,-18.9255,4.364232e-001
3 Dec 2013 01:25:46.000,23.979,1.089990,-130.347,-108.142829,-67.372843,30.879253,8000.000,-38.1516,-29.1207,4.802662e-001
3 Dec 2013 01:26:46.000,23.979,1.089984,-131.921,-109.717072,-83.645692,13.032160,8000.000,-55.9987,-46.9678,4.974705e-001
3 Dec 2013 01:27:46.000,23.979,1.089980,-133.661,-111.456344,-97.575019,-2.636439,8000.000,-71.6673,-62.6364,4.995835e-001
3 Dec 2013 01:28:46.000,23.979,1.089978,-135.289,-113.085242,-106.931690,-13.622007,8000.000,-82.6529,-73.6220,4.998824e-001
3 Dec 2013 01:29:46.000,23.979,1.089977,-136.743,-114.538928,-112.372915,-20.516919,8000.000,-89.5478,-80.5169,4.999468e-001
3 Dec 2013 01:30:46.000,23.979,1.089977,-138.027,-115.823123,-114.948261,-24.376460,8000.000,-93.4074,-84.3765,4.999659e-001
3 Dec 2013 01:31:46.000,23.979,1.089976,-139.165,-116.960386,-115.501057,-26.066519,8000.000,-95.0974,-86.0665,4.999719e-001
3 Dec 2013 01:32:32.205,23.979,1.089976,-139.955,-117.750785,-114.932052,-26.287912,8000.000,-95.3188,-86.2879,4.999726e-001
3 Dec 2013 02:55:55.871,23.979,1.090025,-139.957,-117.752697,-114.828110,-26.185883,8000.000,-95.2168,-86.1859,4.999723e-001
3 Dec 2013 02:56:55.000,23.979,1.090025,-138.886,-116.681968,-115.396022,-25.683065,8000.000,-94.7140,-85.6831,4.999707e-001
3 Dec 2013 02:57:55.000,23.979,1.090025,-137.646,-115.441746,-114.257728,-23.304550,8000.000,-92.3354,-83.3045,4.999614e-001
3 Dec 2013 02:58:55.000,23.979,1.090024,-136.208,-114.003805,-110.511310,-18.120190,8000.000,-87.1511,-78.1202,4.999299e-001
3 Dec 2013 02:59:55.000,23.979,1.090024,-134.513,-112.308847,-102.693194,-8.607117,8000.000,-77.6380,-68.6071,4.997906e-001
3 Dec 2013 03:00:55.000,23.979,1.090023,-132.486,-110.281878,-88.352477,7.760569,8000.000,-61.2703,-52.2394,4.986214e-001
3 Dec 2013 03:01:55.000,23.979,1.090020,-130.077,-107.872930,-63.863177,34.658817,8000.000,-34.3721,-25.3412,4.695251e-001
3 Dec 2013 03:02:55.000,23.979,1.090013,-127.528,-105.323941,-28.504710,72.566274,8000.000,3.5354,12.5663,9.312494e-010
3 Dec 2013 03:03:55.000,23.979,1.090000,-126.219,-104.015260,-6.318007,96.061657,8000.000,27.0308,36.0617,1.000000e-030
3 Dec 2013 03:04:55.000,23.979,1.089986,-127.611,-105.406354,-29.800659,71.187911,8000.000,2.1570,11.1879,1.467624e-007
3 Dec 2013 03:05:55.000,23.979,1.089980,-130.169,-107.965047,-64.940869,33.489008,8000.000,-35.5419,-26.5110,4.733589e-001
3 Dec 2013 03:06:55.000,23.979,1.089977,-132.566,-110.362121,-89.008250,7.024553,8000.000,-62.0063,-52.9754,4.987334e-001
3 Dec 2013 03:07:55.000,23.979,1.089976,-134.581,-112.376918,-103.058475,-9.040469,8000.000,-78.0714,-69.0405,4.998007e-001
3 Dec 2013 03:08:55.000,23.979,1.089976,-136.267,-114.062402,-110.693029,-18.360507,8000.000,-87.3914,-78.3605,4.999319e-001
3 Dec 2013 03:09:55.000,23.979,1.089975,-137.697,-115.493246,-114.320392,-23.418713,8000.000,-92.4496,-83.4187,4.999619e-001
