"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 06:08:32.583,3 Dec 2013 06:22:25.989,833.406
2,3 Dec 2013 07:52:00.979,3 Dec 2013 08:09:48.902,1067.923
3,3 Dec 2013 09:44:11.664,3 Dec 2013 09:57:39.942,808.279
4,3 Dec 2013 11:30:13.581,3 Dec 2013 11:45:17.703,904.122
5,3 Dec 2013 13:10:55.436,3 Dec 2013 13:27:44.131,1008.695
6,3 Dec 2013 14:52:02.014,3 Dec 2013 15:09:14.212,1032.198
7,3 Dec 2013 16:33:39.526,3 Dec 2013 16:50:59.460,1039.935
8,3 Dec 2013 18:16:09.511,3 Dec 2013 18:33:38.098,1048.586
9,3 Dec 2013 19:59:44.883,3 Dec 2013 20:17:17.331,1052.448
10,4 Dec 2013 03:58:08.943,4 Dec 2013 04:12:24.417,855.473
11,4 Dec 2013 05:41:09.540,4 Dec 2013 05:57:53.527,1003.987
12,4 Dec 2013 07:26:31.091,4 Dec 2013 07:42:17.051,945.960
13,4 Dec 2013 09:09:21.281,4 Dec 2013 09:25:33.061,971.781
14,4 Dec 2013 10:51:26.402,4 Dec 2013 11:07:41.943,975.541
15,4 Dec 2013 12:33:31.946,4 Dec 2013 12:49:16.536,944.590
16,4 Dec 2013 14:16:40.995,4 Dec 2013 14:30:45.587,844.591
17,4 Dec 2013 16:02:11.654,4 Dec 2013 16:16:07.430,835.776
18,4 Dec 2013 17:47:56.775,4 Dec 2013 18:05:50.341,1073.566
19,5 Dec 2013 01:49:00.580,5 Dec 2013 01:57:38.703,518.123
20,5 Dec 2013 03:30:36.951,5 Dec 2013 03:43:11.022,754.071
21,5 Dec 2013 05:12:27.576,5 Dec 2013 05:26:25.613,838.037
22,5 Dec 2013 06:53:29.535,5 Dec 2013 07:08:26.038,896.504
23,5 Dec 2013 08:33:41.468,5 Dec 2013 08:49:49.218,967.750
24,5 Dec 2013 10:13:49.423,5 Dec 2013 10:30:52.304,1022.881
25,5 Dec 2013 11:59:22.424,5 Dec 2013 12:16:38.128,1035.705
26,5 Dec 2013 13:50:30.795,5 Dec 2013 14:07:27.396,1016.601
27,5 Dec 2013 15:38:29.045,5 Dec 2013 15:56:26.404,1077.359
28,6 Dec 2013 08:04:55.493,6 Dec 2013 08:20:27.568,932.075
29,6 Dec 2013 09:51:02.467,6 Dec 2013 10:09:15.694,1093.227
30,6 Dec 2013 11:41:43.023,6 Dec 2013 11:59:09.369,1046.347
31,6 Dec 2013 13:30:37.914,6 Dec 2013 13:48:54.546,1096.632
32,6 Dec 2013 15:22:48.224,6 Dec 2013 15:29:33.281,405.057
33,7 Dec 2013 05:58:10.322,7 Dec 2013 06:12:44.695,874.373
34,7 Dec 2013 07:42:40.154,7 Dec 2013 08:00:39.601,1079.447
35,7 Dec 2013 09:34:00.797,7 Dec 2013 09:49:44.327,943.529
36,7 Dec 2013 11:23:33.770,7 Dec 2013 11:40:56.772,1043.003
37,7 Dec 2013 13:04:56.692,7 Dec 2013 13:21:53.431,1016.739
38,7 Dec 2013 14:46:03.916,7 Dec 2013 15:02:02.294,958.377
39,7 Dec 2013 16:27:33.762,7 Dec 2013 16:42:32.241,898.479
40,7 Dec 2013 18:09:49.988,7 Dec 2013 18:23:57.142,847.154
41,7 Dec 2013 19:53:30.469,7 Dec 2013 20:06:03.398,752.929
42,8 Dec 2013 03:48:44.193,8 Dec 2013 04:03:40.383,896.190
43,8 Dec 2013 05:32:46.631,8 Dec 2013 05:49:45.945,1019.315
44,8 Dec 2013 07:23:29.027,8 Dec 2013 07:35:15.687,706.660
45,8 Dec 2013 09:05:08.060,8 Dec 2013 09:19:53.892,885.833
46,8 Dec 2013 10:46:39.677,8 Dec 2013 11:02:36.464,956.787
47,8 Dec 2013 12:28:22.519,8 Dec 2013 12:44:36.029,973.510
48,8 Dec 2013 14:10:50.532,8 Dec 2013 14:26:49.107,958.575
49,8 Dec 2013 15:54:33.433,8 Dec 2013 16:09:57.407,923.974
50,8 Dec 2013 17:39:09.711,8 Dec 2013 17:56:53.580,1063.868
51,9 Dec 2013 01:37:24.047,9 Dec 2013 01:52:13.172,889.125

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Dec 2013 05:45:27.320,3 Dec 2013 05:54:02.456,515.136
2,3 Dec 2013 07:25:07.502,3 Dec 2013 07:43:12.995,1085.493
3,3 Dec 2013 09:15:46.046,3 Dec 2013 09:30:13.385,867.340
4,3 Dec 2013 11:05:10.386,3 Dec 2013 11:19:19.478,849.092
5,3 Dec 2013 12:45:42.169,3 Dec 2013 13:02:16.418,994.249
6,3 Dec 2013 14:26:43.178,3 Dec 2013 14:43:52.474,1029.296
7,3 Dec 2013 16:08:11.080,3 Dec 2013 16:25:29.088,1038.008
8,3 Dec 2013 17:50:26.088,3 Dec 2013 18:07:52.528,1046.439
9,3 Dec 2013 19:33:44.837,3 Dec 2013 19:51:17.567,1052.730
10,3 Dec 2013 21:19:55.359,3 Dec 2013 21:31:08.077,672.717
11,4 Dec 2013 03:35:08.757,4 Dec 2013 03:44:29.720,560.963
12,4 Dec 2013 05:14:14.727,4 Dec 2013 05:31:55.516,1060.790
13,4 Dec 2013 07:00:37.234,4 Dec 2013 07:16:15.865,938.631
14,4 Dec 2013 08:43:44.448,4 Dec 2013 08:59:51.313,966.864
15,4 Dec 2013 10:25:57.118,4 Dec 2013 10:42:14.351,977.234
16,4 Dec 2013 12:07:57.394,4 Dec 2013 12:23:54.252,956.858
17,4 Dec 2013 13:50:43.629,4 Dec 2013 14:05:22.945,879.316
18,4 Dec 2013 15:35:32.718,4 Dec 2013 15:47:14.044,701.326
19,4 Dec 2013 17:21:28.648,4 Dec 2013 17:39:22.661,1074.013
20,4 Dec 2013 19:09:12.991,4 Dec 2013 19:20:20.441,667.450
21,5 Dec 2013 01:24:27.583,5 Dec 2013 01:30:28.076,360.493
22,5 Dec 2013 03:05:06.905,5 Dec 2013 03:17:05.004,718.099
23,5 Dec 2013 04:47:03.303,5 Dec 2013 05:00:45.626,822.323
24,5 Dec 2013 06:28:19.568,5 Dec 2013 06:43:00.635,881.067
